DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
26-Sep-2025,EQ,"2,275.00","2,280.00","2,211.00","2,274.20","2,215.00","2,224.30","2,234.62","3,890.00","2,151.00",525358,"1,17,39,75,126.50",29771
25-Sep-2025,EQ,"2,328.70","2,330.90","2,266.00","2,319.00","2,270.40","2,274.20","2,298.90","3,890.00","2,151.00",380998,"87,58,76,274.10",19914
24-Sep-2025,EQ,"2,310.40","2,344.00","2,308.00","2,324.90","2,320.00","2,319.00","2,321.87","3,890.00","2,151.00",460442,"1,06,90,86,364.90",20977
23-Sep-2025,EQ,"2,343.70","2,344.80","2,312.10","2,344.80","2,322.00","2,324.90","2,328.49","3,890.00","2,151.00",484250,"1,12,75,69,474.90",24258
22-Sep-2025,EQ,"2,338.00","2,357.80","2,330.00","2,337.90","2,345.00","2,344.80","2,346.63","3,890.00","2,151.00",350851,"82,33,17,246.20",19158
19-Sep-2025,EQ,"2,366.00","2,379.20","2,334.00","2,365.60","2,341.90","2,337.90","2,346.45","3,890.00","2,151.00",695716,"1,63,24,66,209.50",22659
18-Sep-2025,EQ,"2,350.00","2,369.40","2,342.90","2,347.80","2,368.10","2,365.60","2,359.66","3,890.00","2,151.00",283950,"67,00,26,490.50",21319
17-Sep-2025,EQ,"2,360.10","2,365.00","2,338.30","2,355.80","2,348.80","2,347.80","2,347.66","3,890.00","2,151.00",374522,"87,92,52,025.80",18623
16-Sep-2025,EQ,"2,366.00","2,376.70","2,347.20","2,365.60","2,359.80","2,355.80","2,361.88","3,890.00","2,151.00",186971,"44,16,03,312.50",15892
15-Sep-2025,EQ,"2,354.50","2,370.70","2,350.70","2,353.70","2,365.00","2,365.60","2,362.52","3,890.00","2,151.00",251023,"59,30,46,941.20",17304
12-Sep-2025,EQ,"2,379.00","2,379.00","2,334.60","2,374.60","2,351.10","2,353.70","2,348.44","3,890.00","2,151.00",350502,"82,31,31,876.30",25759
11-Sep-2025,EQ,"2,408.00","2,413.80","2,367.00","2,407.40","2,374.40","2,374.60","2,386.98","3,890.00","2,151.00",193347,"46,15,14,637.30",21209
10-Sep-2025,EQ,"2,402.30","2,417.60","2,392.20","2,398.90","2,413.90","2,407.40","2,403.42","3,890.00","2,151.00",321014,"77,15,31,394.60",25452
09-Sep-2025,EQ,"2,390.10","2,409.00","2,375.90","2,388.80","2,401.50","2,398.90","2,396.69","3,890.00","2,151.00",449814,"1,07,80,66,584.90",28731
08-Sep-2025,EQ,"2,431.70","2,446.00","2,385.00","2,423.30","2,388.00","2,388.80","2,401.57","3,890.00","2,151.00",447969,"1,07,58,29,831.70",28428
05-Sep-2025,EQ,"2,460.00","2,470.50","2,403.00","2,464.60","2,424.50","2,423.30","2,429.70","3,890.00","2,151.00",749248,"1,82,04,45,671.90",58054
04-Sep-2025,EQ,"2,489.00","2,504.00","2,444.30","2,381.90","2,460.00","2,464.60","2,473.65","3,890.00","2,151.00",2735551,"6,76,67,94,497.60",108478
03-Sep-2025,EQ,"2,410.00","2,414.60","2,373.00","2,413.70","2,379.00","2,381.90","2,392.50","3,890.00","2,151.00",521555,"1,24,78,21,753.20",47114
02-Sep-2025,EQ,"2,359.30","2,423.80","2,355.10","2,360.20","2,415.30","2,413.70","2,403.53","3,890.00","2,151.00",626993,"1,50,69,97,974.30",46973
01-Sep-2025,EQ,"2,327.00","2,375.40","2,320.00","2,331.80","2,358.00","2,360.20","2,355.29","3,890.00","2,151.00",746148,"1,75,73,95,472.80",45845
29-Aug-2025,EQ,"2,250.00","2,357.90","2,250.00","2,262.70","2,328.60","2,331.80","2,331.80","3,890.00","2,151.00",1598897,"3,72,83,08,154.60",89367
